type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
filter,data,filter_data,public/filter/data,True,False,False,False,8,0,2,0,,0,0
filter,displayh5p,filter_displayh5p,public/filter/displayh5p,True,False,False,False,12,0,4,0,,0,0
filter,emailprotect,filter_emailprotect,public/filter/emailprotect,True,False,False,False,7,0,1,0,,0,0
filter,emoticon,filter_emoticon,public/filter/emoticon,True,False,False,False,9,0,1,0,,0,0
filter,glossary,filter_glossary,public/filter/glossary,True,False,False,False,8,1,1,0,,0,0
filter,mathjaxloader,filter_mathjaxloader,public/filter/mathjaxloader,True,False,False,False,11,0,2,0,,0,0
filter,mediaplugin,filter_mediaplugin,public/filter/mediaplugin,True,False,False,False,11,0,1,0,,0,0
filter,multilang,filter_multilang,public/filter/multilang,True,False,False,False,8,0,1,0,,0,0
filter,tex,filter_tex,public/filter/tex,True,False,False,False,16,0,2,0,,0,0
filter,urltolink,filter_urltolink,public/filter/urltolink,True,False,False,False,9,0,2,0,,0,0
